Echantillons;Etat;Var;Squalane;BetaCaryophyllene;AlphaCaryophyllene;Guaiol;gEudesmol;Bulnesol;AlphaBisabolol;Cannabinoide1;THV;Cannabinoide2;CBL;CBDCBC;D9THC;CBG;CBN;Nonacosane
CH005_a;Stupefiant;CH;3258222;1724;2309;0;0;0;16006;1642;2789;6220;8711;254861;433398;1730;7952;31458
CH005_b;Stupefiant;CH;3273429;1816;2432;0;0;0;17099;1988;3393;6478;8694;273847;457124;1635;7268;30409
CH005_c;Stupefiant;CH;3274850;1598;2154;0;0;0;16323;1623;3461;6450;9031;293639;485298;1690;7963;33685
CH006_a;Stupefiant;CH;3276695;1571;2244;0;0;0;18277;3719;4446;10845;8345;359751;623923;5196;9780;37275
CH006_b;Stupefiant;CH;3298599;1478;2078;0;0;0;17881;3404;4263;11508;7886;363077;628857;5543;10087;38260
CH006_c;Stupefiant;CH;3227628;1393;2141;0;0;0;16321;3516;4296;11905;7714;347838;601203;5836;10422;37924
CH007_a;Stupefiant;CH;3258471;2091;2751;0;0;0;17882;2560;3487;7808;7999;301751;487156;1909;7004;40720
CH007_b;Stupefiant;CH;3263398;1863;2866;0;0;0;17967;2481;3306;8591;8473;314513;503252;1653;7954;38179
CH007_c;Stupefiant;CH;3264598;1795;2808;0;0;0;16348;2117;3365;8052;8644;319170;508197;1277;8414;38504
CH008_a;Stupefiant;CH;3261688;1801;2722;0;0;0;19516;2794;3599;8059;6252;248740;452901;5321;7638;26553
CH008_b;Stupefiant;CH;3286271;1807;2279;0;0;0;18571;3206;3436;7908;6946;257658;466793;5870;8560;27316
CH008_c;Stupefiant;CH;3277036;1555;2518;0;0;0;18039;2919;3569;8471;6525;257481;459386;6125;7699;32580
CH009_a;Stupefiant;CH;3246510;1304;1646;0;0;0;15231;2658;2983;6473;4884;207086;386102;2019;8103;27382
CH009_b;Stupefiant;CH;3258040;1394;1709;0;0;0;15832;2485;2925;6775;4849;207610;377702;1792;8574;24124
CH009_c;Stupefiant;CH;3254724;1467;1745;0;0;0;16164;2602;2831;6152;5000;209353;384720;1628;7557;23518
CH010_a;Stupefiant;CH;3259888;1354;1916;0;0;0;24250;3332;5657;10819;9830;534970;769406;10774;10904;43846
CH010_b;Stupefiant;CH;3264744;1588;2265;0;0;0;24709;3164;5064;11560;9918;535019;773618;10223;10646;44573
CH010_c;Stupefiant;CH;3338688;1543;2298;0;0;0;24500;3158;5332;10924;9076;525803;749020;10012;11149;42398
IC001_a;Stupefiant;IC;3455125;877;1176;2755;2059;1423;6292;1339;3084;3220;3078;163972;440078;1244;10037;44654
IC001_b;Stupefiant;IC;3511449;936;1319;2665;1682;1397;5330;1359;2964;3129;2458;154770;406829;901;10215;45528
IC003_a;Stupefiant;IC;3469280;1256;1927;3903;2998;2008;9007;0;3735;2662;2897;173342;483395;1680;8428;33325
IC003_b;Stupefiant;IC;3471577;1109;1343;3669;2729;1823;7771;0;3188;3188;2464;167806;455097;2132;10652;31836
IC003_c;Stupefiant;IC;3417176;1298;1890;3580;2437;1750;7462;1400;3799;3985;3569;196007;537086;2457;13590;34148
IC004_a;Stupefiant;IC;3440930;1842;2501;4700;3604;2251;10098;0;3177;2017;3526;153087;416623;1584;11828;30702
IC004_b;Stupefiant;IC;3432551;1829;2356;4392;3003;2005;9314;0;3022;2513;3157;146191;382365;1217;10726;31239
IC004_c;Stupefiant;IC;3416695;1736;2505;4525;3185;1918;9029;1211;3106;1957;3474;156397;411247;1008;11710;29521
IC005_a;Stupefiant;IC;3440955;1440;2209;6003;4281;3043;12930;0;5876;4617;5183;357650;889101;4700;23449;50710
IC005_b;Stupefiant;IC;3413611;1525;1974;5652;4073;2791;12179;0;5617;7184;5684;362651;899862;4996;24543;52515
IC005_c;Stupefiant;IC;3542441;1317;1876;5334;3721;2653;10910;1927;6541;6598;6737;384115;974456;5873;28036;55896
IC006_a;Stupefiant;IC;3481338;910;1038;3467;2110;1643;6762;0;3346;2585;1706;129724;419731;1315;9800;32627
