Place;Canton;Date;Name;MEC;AC;AcTB;X6MAM;DAM;PAP;NOS;Caffeine;Paracetamol
GENEVE;GE;06/11/2006;463_12_06_4_b;65905;1388169;381031;1722134;9457124;993255;10248841;7651289;3571452
GENEVE;GE;06/11/2006;463_12_06_4_a;62752;1390314;364585;1675104;9504981;968753;10113548;6629550;3486720
GENEVE;GE;06/11/2006;463_12_06_3_c;63275;1371122;368462;1556512;9323395;967456;9937852;7170969;3231471
GENEVE;GE;06/11/2006;463_12_06_3_b;64359;1419610;380157;1645512;9618991;993489;10524909;6519238;3954345
GENEVE;GE;06/11/2006;463_12_06_2_c;59576;1302240;342456;1486705;8831880;921322;9863965;7989047;3487591
GENEVE;GE;06/11/2006;463_12_06_2_b;63847;1359702;377213;1546390;9305391;949741;10203098;7248289;3546162
GENEVE;GE;06/11/2006;463_12_06_2_a;52459;1226105;338114;1408608;8441539;843822;9324419;7770607;3580544
GENEVE;GE;06/11/2006;463_12_06_1_c;53234;1281728;332735;1388912;8809513;882286;9402218;7385774;3468605
GENEVE;GE;06/11/2006;463_12_06_1_b;54748;1233912;344762;1356446;8422835;855126;9184814;6905146;3664304
GENEVE;GE;06/11/2006;463_12_06_1_a;44307;1008635;282146;1082575;7002757;719808;7776469;6684227;3546486
LAUSANNE;VD;3/20/2007;121_04_07_3_c;350618;6885358;1591690;9375940;51011307;4849964;53880440;6834669;3211015
LAUSANNE;VD;3/20/2007;121_04_07_3_b;331765;6528761;1652561;8696235;48544864;4485690;51891652;7418229;3853543
LAUSANNE;VD;3/20/2007;121_04_07_3_a;361366;6826844;1641035;9152749;50477014;4729383;53460963;6806659;3213555
LAUSANNE;VD;3/20/2007;121_04_07_2_c;364007;6575756;1589507;8723133;48972995;4696891;54780239;6457461;3475634
LAUSANNE;VD;3/20/2007;121_04_07_2_b;348681;6723196;1554750;8496086;49688181;4603430;53374749;7630859;3861749
LAUSANNE;VD;3/20/2007;121_04_07_2_a;350544;6699832;1549780;8695713;49349649;4633040;52318904;7365592;3639412
LAUSANNE;VD;3/20/2007;121_04_07_1_2_c;348547;6527246;1530421;8522981;48707787;4584557;52739762;6779961;3323012
LAUSANNE;VD;3/20/2007;121_04_07_1_2_b;295305;6130571;1407145;8287222;45701268;4184856;49001647;7298787;3698401
LAUSANNE;VD;3/20/2007;121_04_07_1_2_a;301696;5599284;1339291;7638998;42073676;3893840;45227103;7038027;3810269
LAUSANNE;VD;3/20/2007;121_04_07_1_1_c;283942;6388477;1487510;8322449;47786622;4448721;50588148;7036076;3897219
LAUSANNE;VD;3/20/2007;121_04_07_1_1_b;343852;6814026;1619192;8675502;51214204;4658823;54494992;6004879;3348853
LAUSANNE;VD;3/20/2007;121_04_07_1_1_a;357504;6349679;1509359;8212345;47458993;4391717;52060525;7341175;3290104
